ID,Distance,Variety,,,,,,,,,,,,,,
118,0.194489796,ATOL,,,,,,,,,,,,,,
119,0.236734694,ATOL,,,,,,,,,,,,,,
120,0.248061224,ATOL,,,,,,,,,,,,,,
121,0.192040816,DESIREE,,,,,,,,,,,,,,
122,0.277346939,DESIREE,,,,,,,,,,,,,,
123,0.275714286,DESIREE,,,,,,,,,,,,,,
124,0.269693878,DESIREE,,,,,,,,,,,,,,
125,0.295510204,DESIREE,,,,,,,,,,,,,,
126,0.25255102,DESIREE,,,,,,,,,,,,,,
127,0.320714286,DESIREE,,,,,,,,,,,,,,
128,0.277346939,DESIREE,,,,,,,,,,,,,,
129,0.267857143,DESIREE,,,,,,,,,,,,,,
130,0.243673469,DESIREE,,,,,,,,,,,,,,
131,0.252346939,DESIREE,,,,,,,,,,,,,,
132,0.29755102,DESIREE,,,,,,,,,,,,,,
133,0.273469388,DESIREE,,,,,,,,,,,,,,
134,0.321428571,DESIREE,,,,,,,,,,,,,,
135,0.26877551,DESIREE,,,,,,,,,,,,,,
136,0.288163265,DESIREE,,,,,,,,,,,,,,
137,0.252755102,DESIREE,,,,,,,,,,,,,,
138,0.298877551,DESIREE,,,,,,,,,,,,,,
139,0.300510204,DESIREE,,,,,,,,,,,,,,
140,0.264897959,DESIREE,,,,,,,,,,,,,,
141,0.316530612,DESIREE,,,,,,,,,,,,,,
142,0.265714286,DESIREE,,,,,,,,,,,,,,
143,0.333979592,DESIREE,,,,,,,,,,,,,,
144,0.318979592,DESIREE,,,,,,,,,,,,,,
145,0.27744898,DESIREE,,,,,,,,,,,,,,
146,0.255204082,DESIREE,,,,,,,,,,,,,,
147,0.254693878,DESIREE,,,,,,,,,,,,,,
148,0.341020408,DESIREE,,,,,,,,,,,,,,
149,0.296938776,DESIREE,,,,,,,,,,,,,,
150,0.335,DESIREE,,,,,,,,,,,,,,
151,0.252346939,DESIREE,,,,,,,,,,,,,,
152,0.283979592,DESIREE,,,,,,,,,,,,,,
153,0.270102041,DESIREE,,,,,,,,,,,,,,
154,0.261020408,DESIREE,,,,,,,,,,,,,,
155,0.278265306,DESIREE,,,,,,,,,,,,,,
156,0.255408163,DESIREE,,,,,,,,,,,,,,
157,0.225408163,DESIREE,,,,,,,,,,,,,,
158,0.303265306,DESIREE,,,,,,,,,,,,,,
159,0.271122449,DESIREE,,,,,,,,,,,,,,
160,0.233061224,DESIREE,,,,,,,,,,,,,,
161,0.285102041,DESIREE,,,,,,,,,,,,,,
162,0.269387755,DESIREE,,,,,,,,,,,,,,
163,0.284795918,DESIREE,,,,,,,,,,,,,,
164,0.273673469,DESIREE,,,,,,,,,,,,,,
165,0.316734694,DESIREE,,,,,,,,,,,,,,
166,0.286734694,DESIREE,,,,,,,,,,,,,,
167,0.285408163,DESIREE,,,,,,,,,,,,,,
168,0.298469388,DESIREE,,,,,,,,,,,,,,
169,0.248673469,DESIREE,,,,,,,,,,,,,,
170,0.255612245,DESIREE,,,,,,,,,,,,,,
171,0.269897959,DESIREE,,,,,,,,,,,,,,
172,0.366734694,DESIREE,,,,,,,,,,,,,,
173,0.31755102,DESIREE,,,,,,,,,,,,,,
174,0.261020408,DESIREE,,,,,,,,,,,,,,
175,0.265306122,DESIREE,,,,,,,,,,,,,,
176,0.268979592,DESIREE,,,,,,,,,,,,,,
177,0.274897959,DESIREE,,,,,,,,,,,,,,
178,0.277244898,DESIREE,,,,,,,,,,,,,,
179,0.302959184,DESIREE,,,,,,,,,,,,,,
180,0.266734694,DESIREE,,,,,,,,,,,,,,
181,0.274183673,DESIREE,,,,,,,,,,,,,,
182,0.274897959,DESIREE,,,,,,,,,,,,,,
183,0.234489796,DESIREE,,,,,,,,,,,,,,
184,0.312653061,DESIREE,,,,,,,,,,,,,,
185,0.359183673,DESIREE,,,,,,,,,,,,,,
186,0.316632653,DESIREE,,,,,,,,,,,,,,
187,0.285816327,DESIREE,,,,,,,,,,,,,,
188,0.229285714,DESIREE,,,,,,,,,,,,,,
189,0.280510204,DESIREE,,,,,,,,,,,,,,
190,0.315408163,DESIREE,,,,,,,,,,,,,,
191,0.312142857,DESIREE,,,,,,,,,,,,,,
192,0.33877551,DESIREE,,,,,,,,,,,,,,
193,0.21744898,DESIREE,,,,,,,,,,,,,,
194,0.271530612,DESIREE,,,,,,,,,,,,,,
195,0.228061224,DESIREE,,,,,,,,,,,,,,
196,0.296734694,DESIREE,,,,,,,,,,,,,,
197,0.361326531,DESIREE,,,,,,,,,,,,,,
198,0.320714286,DESIREE,,,,,,,,,,,,,,
199,0.289387755,DESIREE,,,,,,,,,,,,,,
200,0.28744898,DESIREE,,,,,,,,,,,,,,
201,0.303979592,DESIREE,,,,,,,,,,,,,,
202,0.30255102,DESIREE,,,,,,,,,,,,,,
203,0.299387755,DESIREE,,,,,,,,,,,,,,
204,0.336530612,DESIREE,,,,,,,,,,,,,,
205,0.257857143,DESIREE,,,,,,,,,,,,,,
206,0.25877551,DESIREE,,,,,,,,,,,,,,
207,0.284387755,DESIREE,,,,,,,,,,,,,,
208,0.24744898,DESIREE,,,,,,,,,,,,,,
209,0.222040816,DESIREE,,,,,,,,,,,,,,
210,0.181632653,DESIREE,,,,,,,,,,,,,,
211,0.256122449,DESIREE,,,,,,,,,,,,,,
212,0.214183673,DESIREE,,,,,,,,,,,,,,
213,0.232755102,DESIREE,,,,,,,,,,,,,,
214,0.210408163,DESIREE,,,,,,,,,,,,,,
215,0.240816327,DESIREE,,,,,,,,,,,,,,
216,0.229081633,DESIREE,,,,,,,,,,,,,,
217,0.240612245,DESIREE,,,,,,,,,,,,,,
218,0.248877551,DESIREE,,,,,,,,,,,,,,
219,0.271428571,DESIREE,,,,,,,,,,,,,,
220,0.288367347,DESIREE,,,,,,,,,,,,,,
221,0.325,DESIREE,,,,,,,,,,,,,,
222,0.271326531,DESIREE,,,,,,,,,,,,,,
223,0.341530612,DESIREE,,,,,,,,,,,,,,
224,0.302755102,DESIREE,,,,,,,,,,,,,,
225,0.293061224,DESIREE,,,,,,,,,,,,,,
226,0.302244898,DESIREE,,,,,,,,,,,,,,
227,0.311122449,DESIREE,,,,,,,,,,,,,,
228,0.330918367,DESIREE,,,,,,,,,,,,,,
229,0.247653061,DESIREE,,,,,,,,,,,,,,
230,0.28877551,DESIREE,,,,,,,,,,,,,,
231,0.241428571,DESIREE,,,,,,,,,,,,,,
232,0.278979592,DESIREE,,,,,,,,,,,,,,
233,0.293673469,DESIREE,,,,,,,,,,,,,,
234,0.296122449,DESIREE,,,,,,,,,,,,,,
235,0.288877551,DESIREE,,,,,,,,,,,,,,
236,0.293265306,DESIREE,,,,,,,,,,,,,,
237,0.281836735,DESIREE,,,,,,,,,,,,,,
238,0.213469388,DESIREE,,,,,,,,,,,,,,
239,0.235816327,DESIREE,,,,,,,,,,,,,,
240,0.262857143,DESIREE,,,,,,,,,,,,,,
241,0.245918367,DESIREE,,,,,,,,,,,,,,
242,0.25122449,DESIREE,,,,,,,,,,,,,,
243,0.251326531,DESIREE,,,,,,,,,,,,,,
244,0.220510204,DESIREE,,,,,,,,,,,,,,
245,0.262653061,DESIREE,,,,,,,,,,,,,,
246,0.218571429,DESIREE,,,,,,,,,,,,,,
247,0.313877551,DESIREE,,,,,,,,,,,,,,
