ID,Distance,Variety
240,0.498421053,DESIREE
241,0.386315789,DESIREE
242,0.427719298,DESIREE
243,0.433859649,DESIREE
244,0.473508772,DESIREE
245,0.463859649,DESIREE
246,0.413157895,DESIREE
247,0.433859649,DESIREE
248,0.46877193,DESIREE
249,0.483684211,DESIREE
250,0.510175439,DESIREE
251,0.53,DESIREE
252,0.421403509,DESIREE
253,0.457894737,DESIREE
254,0.489824561,DESIREE
255,0.476315789,DESIREE
256,0.459649123,DESIREE
257,0.429649123,DESIREE
258,0.504035088,DESIREE
259,0.480350877,DESIREE
260,0.494912281,DESIREE
261,0.505263158,DESIREE
262,0.481052632,DESIREE
263,0.500350877,DESIREE
264,0.470877193,DESIREE
265,0.455263158,DESIREE
266,0.462280702,DESIREE
267,0.506491228,DESIREE
268,0.499298246,DESIREE
269,0.490877193,DESIREE
270,0.515263158,DESIREE
271,0.388070175,DESIREE
272,0.411754386,DESIREE
273,0.481578947,DESIREE
274,0.481754386,DESIREE
275,0.492807018,DESIREE
276,0.492631579,DESIREE
277,0.499473684,DESIREE
278,0.526315789,DESIREE
279,0.400526316,DESIREE
280,0.518245614,DESIREE
281,0.509824561,DESIREE
282,0.495964912,DESIREE
283,0.520175439,DESIREE
284,0.506666667,DESIREE
285,0.513859649,DESIREE
286,0.461754386,DESIREE
287,0.475964912,DESIREE
288,0.48754386,DESIREE
289,0.482631579,DESIREE
290,0.471929825,DESIREE
291,0.513508772,DESIREE
292,0.415789474,DESIREE
293,0.468070175,DESIREE
294,0.481403509,DESIREE
295,0.45754386,DESIREE
296,0.496666667,DESIREE
297,0.438596491,DESIREE
298,0.442807018,DESIREE
299,0.465614035,DESIREE
300,0.491754386,DESIREE
301,0.510526316,DESIREE
302,0.503333333,DESIREE
303,0.528947368,DESIREE
304,0.473333333,DESIREE
305,0.490701754,DESIREE
306,0.421052632,DESIREE
307,0.401754386,JELLY
308,0.445614035,JELLY
309,0.46877193,JELLY
310,0.473157895,JELLY
311,0.482631579,JELLY
312,0.477017544,JELLY
313,0.644385965,JELLY
314,0.527894737,JELLY
315,0.564912281,JELLY
316,0.498245614,JELLY
317,0.531052632,JELLY
318,0.514385965,JELLY
319,0.513859649,JELLY
320,0.472982456,JELLY
321,0.445438596,JELLY
322,0.485964912,JELLY
323,0.491754386,JELLY
324,0.415789474,JELLY
325,0.438070175,JELLY
326,0.432982456,JELLY
327,0.451403509,JELLY
328,0.447894737,JELLY
329,0.616666667,JELLY
330,0.455263158,JELLY
331,0.505438596,JELLY
332,0.466666667,JELLY
333,0.508070175,JELLY
334,0.481754386,JELLY
335,0.478596491,JELLY
336,0.433157895,JELLY
337,0.428421053,JELLY
338,0.462807018,JELLY
339,0.480526316,JELLY
340,0.464736842,JELLY
341,0.472280702,JELLY
342,0.495964912,JELLY
343,0.502105263,JELLY
344,0.646491228,JELLY
345,0.526140351,JELLY
346,0.550701754,JELLY
347,0.477017544,JELLY
348,0.515263158,JELLY
349,0.499824561,JELLY
350,0.483684211,JELLY
351,0.468245614,JELLY
352,0.450877193,JELLY
353,0.475087719,JELLY
354,0.482982456,JELLY
355,0.41245614,JELLY
356,0.398596491,JELLY
357,0.405614035,JELLY
358,0.613333333,JELLY
359,0.396666667,JELLY
360,0.468245614,JELLY
361,0.418245614,JELLY
362,0.484561404,JELLY
363,0.444035088,JELLY
364,0.422631579,JELLY
365,0.409473684,JELLY
366,0.411929825,JELLY
367,0.458947368,JELLY
368,0.465438596,JELLY
369,0.423859649,JELLY
370,0.418070175,JELLY
371,0.650526316,JELLY
372,0.449473684,JELLY
373,0.510175439,JELLY
374,0.448947368,JELLY
375,0.464912281,JELLY
376,0.408947368,JELLY
377,0.40122807,JELLY
378,0.397017544,JELLY
379,0.391578947,JELLY
380,0.464736842,JELLY
381,0.443859649,JELLY
382,0.425438596,JELLY
383,0.618245614,JELLY
384,0.419298246,JELLY
385,0.500701754,JELLY
386,0.448947368,JELLY
387,0.464385965,JELLY
388,0.445438596,JELLY
389,0.447368421,JELLY
390,0.420350877,JELLY
391,0.441929825,JELLY
392,0.454035088,JELLY
393,0.457192982,JELLY
394,0.634035088,JELLY
395,0.400350877,JELLY
396,0.465614035,JELLY
397,0.446666667,JELLY
398,0.495789474,JELLY
399,0.43754386,JELLY
400,0.441929825,JELLY
401,0.387719298,JELLY
402,0.430701754,JELLY
403,0.444561404,JELLY
404,0.484912281,JELLY
405,0.627719298,JELLY
406,0.635614035,JELLY
407,0.620526316,JELLY
408,0.679649123,JELLY
409,0.669122807,JELLY
410,0.625087719,JELLY
411,0.633508772,JELLY
412,0.621754386,JELLY
413,0.609649123,JELLY
414,0.663157895,JELLY
415,0.444210526,JELLY
416,0.409824561,JELLY
417,0.474210526,JELLY
418,0.464912281,JELLY
419,0.41245614,JELLY
420,0.423333333,JELLY
421,0.438070175,JELLY
422,0.448070175,JELLY
423,0.504385965,JELLY
424,0.44877193,JELLY
425,0.524561404,JELLY
426,0.530175439,JELLY
427,0.499649123,JELLY
428,0.492631579,JELLY
429,0.440701754,JELLY
430,0.481929825,JELLY
431,0.515789474,JELLY
432,0.472280702,JELLY
433,0.484561404,JELLY
434,0.454385965,JELLY
435,0.438947368,JELLY
436,0.434736842,JELLY
437,0.433508772,JELLY
438,0.470175439,JELLY
439,0.49754386,JELLY
440,0.470877193,JELLY
441,0.480877193,JELLY
442,0.446140351,JELLY
443,0.464210526,JELLY
444,0.494035088,JELLY
445,0.429122807,JELLY
446,0.394912281,JELLY
447,0.433859649,JELLY
448,0.480701754,JELLY
449,0.448245614,JELLY
450,0.418421053,JELLY
451,0.415789474,JELLY
452,0.450877193,JELLY
453,0.469473684,JELLY
454,0.411578947,JELLY
455,0.448947368,JELLY
456,0.456140351,JELLY
457,0.397192982,JELLY
458,0.42,JELLY
459,0.441052632,JELLY
460,0.460350877,KRAB
461,0.448245614,KRAB
462,0.471754386,KRAB
463,0.531403509,KRAB
464,0.519298246,KRAB
465,0.449649123,KRAB
466,0.462280702,KRAB
467,0.445087719,KRAB
468,0.518947368,KRAB
469,0.534912281,KRAB
470,0.537719298,KRAB
471,0.535438596,KRAB
472,0.484210526,KRAB
473,0.514035088,KRAB
474,0.544736842,KRAB
475,0.535087719,KRAB
476,0.525263158,KRAB
477,0.524385965,KRAB
478,0.518421053,KRAB
479,0.541578947,KRAB
480,0.547368421,KRAB
481,0.529824561,KRAB
482,0.540701754,KRAB
483,0.518245614,KRAB
484,0.561403509,KRAB
485,0.559122807,KRAB
486,0.578245614,KRAB
487,0.585789474,KRAB
488,0.528245614,KRAB
489,0.590701754,KRAB
490,0.583508772,KRAB
491,0.591578947,KRAB
492,0.538596491,KRAB
493,0.482280702,KRAB
494,0.528070175,KRAB
495,0.48245614,KRAB
496,0.425087719,KRAB
497,0.448245614,KRAB
498,0.444385965,KRAB
499,0.494035088,KRAB
500,0.482807018,KRAB
501,0.478070175,KRAB
502,0.431578947,KRAB
503,0.419473684,KRAB
504,0.456491228,KRAB
505,0.478421053,KRAB
506,0.471578947,KRAB
507,0.463333333,KRAB
508,0.470175439,KRAB
509,0.504561404,KRAB
510,0.446666667,KRAB
511,0.462631579,KRAB
512,0.451403509,KRAB
513,0.55754386,KRAB
514,0.522280702,KRAB
515,0.566315789,KRAB
516,0.525964912,KRAB
517,0.500175439,KRAB
518,0.543684211,KRAB
519,0.508070175,KRAB
520,0.520701754,KRAB
521,0.484210526,KRAB
522,0.516315789,KRAB
523,0.487719298,KRAB
524,0.511403509,KRAB
525,0.528070175,KRAB
526,0.562982456,KRAB
527,0.530877193,KRAB
528,0.591403509,KRAB
529,0.555789474,KRAB
530,0.519298246,KRAB
531,0.578947368,KRAB
532,0.520877193,KRAB
533,0.548070175,KRAB
534,0.498245614,KRAB
535,0.482982456,KRAB
536,0.485614035,KRAB
537,0.495614035,KRAB
538,0.568070175,KRAB
539,0.515438596,KRAB
540,0.50245614,KRAB
541,0.523508772,KRAB
542,0.465614035,KRAB
543,0.552105263,KRAB
544,0.504736842,KRAB
545,0.547719298,KRAB
546,0.498245614,KRAB
547,0.404736842,KRAB
548,0.405789474,KRAB
549,0.473859649,KRAB
550,0.496666667,KRAB
551,0.502631579,KRAB
552,0.463859649,KRAB
553,0.445438596,KRAB
554,0.504385965,KRAB
555,0.482631579,KRAB
556,0.465789474,KRAB
557,0.414736842,KRAB
558,0.403333333,KRAB
559,0.467894737,KRAB
560,0.449473684,KRAB
561,0.495087719,KRAB
562,0.49,KRAB
563,0.464385965,KRAB
564,0.505263158,KRAB
565,0.502105263,KRAB
566,0.491403509,KRAB
567,0.437192982,KRAB
568,0.455087719,KRAB
569,0.476315789,KRAB
570,0.471754386,KRAB
571,0.475614035,KRAB
572,0.449824561,KRAB
573,0.472982456,KRAB
574,0.472982456,KRAB
575,0.485438596,KRAB
576,0.439298246,KRAB
577,0.414210526,KRAB
578,0.402280702,KRAB
579,0.510701754,KRAB
580,0.476842105,KRAB
581,0.492807018,KRAB
582,0.469824561,KRAB
583,0.427017544,KRAB
584,0.443684211,KRAB
585,0.423859649,KRAB
586,0.474385965,KRAB
587,0.478070175,KRAB
588,0.51122807,KRAB
589,0.46,KRAB
590,0.436842105,KRAB
591,0.44245614,KRAB
592,0.484561404,KRAB
593,0.477017544,KRAB
594,0.490350877,KRAB
595,0.479473684,KRAB
596,0.444210526,KRAB
597,0.484385965,KRAB
598,0.409473684,KRAB
599,0.484210526,KRAB
600,0.434912281,KRAB
601,0.435614035,KRAB
602,0.456842105,KRAB
603,0.465087719,KRAB
604,0.455087719,KRAB
605,0.452280702,KRAB
606,0.456491228,KRAB
607,0.501052632,KRAB
608,0.485789474,KRAB
609,0.484912281,KRAB
610,0.434385965,KRAB
611,0.432807018,KRAB
612,0.432631579,KRAB
613,0.42754386,PASJA_POMORSKA
614,0.479824561,PASJA_POMORSKA
615,0.492631579,PASJA_POMORSKA
616,0.483508772,PASJA_POMORSKA
617,0.486842105,PASJA_POMORSKA
618,0.486666667,PASJA_POMORSKA
619,0.508245614,PASJA_POMORSKA
620,0.50245614,PASJA_POMORSKA
621,0.435789474,PASJA_POMORSKA
622,0.634385965,PASJA_POMORSKA
623,0.564035088,PASJA_POMORSKA
624,0.479122807,PASJA_POMORSKA
625,0.461754386,PASJA_POMORSKA
626,0.494385965,PASJA_POMORSKA
627,0.651578947,PASJA_POMORSKA
628,0.512280702,PASJA_POMORSKA
629,0.512631579,PASJA_POMORSKA
630,0.471052632,PASJA_POMORSKA
631,0.515964912,PASJA_POMORSKA
632,0.482631579,PASJA_POMORSKA
633,0.512982456,PASJA_POMORSKA
634,0.48122807,PASJA_POMORSKA
635,0.523859649,PASJA_POMORSKA
636,0.489473684,PASJA_POMORSKA
637,0.478421053,PASJA_POMORSKA
638,0.644561404,PASJA_POMORSKA
639,0.590701754,PASJA_POMORSKA
640,0.497017544,PASJA_POMORSKA
641,0.481052632,PASJA_POMORSKA
642,0.516491228,PASJA_POMORSKA
643,0.626140351,PASJA_POMORSKA
644,0.539473684,PASJA_POMORSKA
645,0.525614035,PASJA_POMORSKA
646,0.479473684,PASJA_POMORSKA
647,0.484210526,PASJA_POMORSKA
648,0.45,PASJA_POMORSKA
649,0.489298246,PASJA_POMORSKA
650,0.493508772,PASJA_POMORSKA
651,0.468070175,PASJA_POMORSKA
652,0.485438596,PASJA_POMORSKA
653,0.598596491,PASJA_POMORSKA
654,0.572982456,PASJA_POMORSKA
655,0.443333333,PASJA_POMORSKA
656,0.473684211,PASJA_POMORSKA
657,0.486140351,PASJA_POMORSKA
658,0.596315789,PASJA_POMORSKA
659,0.548245614,PASJA_POMORSKA
660,0.514035088,PASJA_POMORSKA
661,0.452280702,PASJA_POMORSKA
662,0.460175439,PASJA_POMORSKA
663,0.503859649,PASJA_POMORSKA
664,0.499298246,PASJA_POMORSKA
665,0.541929825,PASJA_POMORSKA
666,0.485087719,PASJA_POMORSKA
667,0.610526316,PASJA_POMORSKA
668,0.553508772,PASJA_POMORSKA
669,0.491403509,PASJA_POMORSKA
670,0.435087719,PASJA_POMORSKA
671,0.466491228,PASJA_POMORSKA
672,0.631403509,PASJA_POMORSKA
673,0.486315789,PASJA_POMORSKA
