SampleID;Sample_id;Sample_NO;Soil_type;Sampling_time;Variety;Treatment;Replicate;PlotNO;People;Nucleic.Acid.Con;A260.A280;A260.A230
R_W5_T4_115;R_W5_T4_115;133;rhizo;W5;DESIREE;4;1;115;Michael;66.4;1.782;1.688
R_W5_T5_10;R_W5_T5_10;143;rhizo;W5;DESIREE;5;2;10;Michael;81.88;1.797;1.708
R_W5_T5_12;R_W5_T5_12;145;rhizo;W5;DESIREE;5;1;12;Michael;89.24;1.777;1.68
R_W5_T5_48;R_W5_T5_48;159;rhizo;W5;DESIREE;5;3;48;Tianci;52.75;1.828;1.941
R_W5_T6_5;R_W5_T6_5;170;rhizo;W5;DESIREE;6;1;5;Xiu;88.43;1.621;1.055
R_W5_T6_25;R_W5_T6_25;175;rhizo;W5;DESIREE;6;3;25;Xiu;68.12;1.795;1.464
R_W5_T6_56;R_W5_T6_56;187;rhizo;W5;DESIREE;6;2;56;Michael;62.22;1.827;1.842
R_W5_T1_157;R_W5_T1_157;34;rhizo;W5;JELLY;1;3;157;Michael;159.33;1.702;1.324
R_W5_T1_181;R_W5_T1_181;43;rhizo;W5;JELLY;1;1;181;Michael;91.84;1.854;1.82
R_W5_T1_189;R_W5_T1_189;50;rhizo;W5;JELLY;1;2;189;Tianci;126.85;1.816;1.589
R_W5_T2_146;R_W5_T2_146;63;rhizo;W5;JELLY;2;2;146;Michael;87.6;1.809;1.709
R_W5_T2_171;R_W5_T2_171;70;rhizo;W5;JELLY;2;3;171;Michael;72.84;1.893;1.834
R_W5_T2_192;R_W5_T2_192;77;rhizo;W5;JELLY;2;1;192;Tianci;63.29;1.827;1.729
R_W5_T3_71;R_W5_T3_71;88;rhizo;W5;JELLY;3;1;71;Xiu;62.12;1.803;1.409
R_W5_T3_130;R_W5_T3_130;114;rhizo;W5;JELLY;3;3;130;Xiu;71.51;1.875;1.778
R_W5_T3_133;R_W5_T3_133;117;rhizo;W5;JELLY;3;2;133;Xiu;55.58;1.84;1.549
R_W5_T4_118;R_W5_T4_118;135;rhizo;W5;JELLY;4;1;118;Michael;86.49;1.703;1.448
R_W5_T4_136;R_W5_T4_136;138;rhizo;W5;JELLY;4;3;136;Michael;76.17;1.75;1.522
R_W5_T4_140;R_W5_T4_140;141;rhizo;W5;JELLY;4;2;140;Michael;47.19;1.779;1.887
R_W5_T5_19;R_W5_T5_19;150;rhizo;W5;JELLY;5;3;19;Michael;59.29;1.81;1.824
R_W5_T5_21;R_W5_T5_21;152;rhizo;W5;JELLY;5;1;21;Tianci;47.01;1.968;2.901
R_W5_T5_45;R_W5_T5_45;157;rhizo;W5;JELLY;5;2;45;Tianci;47.18;1.824;1.841
R_W5_T6_33;R_W5_T6_33;179;rhizo;W5;JELLY;6;2;33;Michael;58.37;1.793;1.899
R_W5_T6_51;R_W5_T6_51;182;rhizo;W5;JELLY;6;1;51;Michael;47.77;1.772;1.588
R_W5_T6_55;R_W5_T6_55;186;rhizo;W5;JELLY;6;3;55;Michael;61.18;1.791;1.861
R_W5_T1_150;R_W5_T1_150;27;rhizo;W5;KRAB;1;1;150;Tianci;87.77;1.78;1.456
R_W5_T1_186;R_W5_T1_186;48;rhizo;W5;KRAB;1;3;186;Tianci;90;1.773;1.464
R_W5_T1_208;R_W5_T1_208;55;rhizo;W5;KRAB;1;2;208;Xiu;84.11;1.786;1.474
R_W5_T2_193;R_W5_T2_193;78;rhizo;W5;KRAB;2;3;193;Tianci;67.87;1.843;1.731
R_W5_T2_198;R_W5_T2_198;82;rhizo;W5;KRAB;2;2;198;Xiu;75.53;1.778;1.495
R_W5_T2_203;R_W5_T2_203;87;rhizo;W5;KRAB;2;1;203;Xiu;53.84;1.869;1.708
R_W5_T3_76;R_W5_T3_76;93;rhizo;W5;KRAB;3;2;76;Tianci;52.3;1.672;1.388
R_W5_T3_124;R_W5_T3_124;108;rhizo;W5;KRAB;3;1;124;Xiu;73.16;1.854;1.645
R_W5_T3_128;R_W5_T3_128;112;rhizo;W5;KRAB;3;3;128;Xiu;72.13;1.803;1.582
R_W5_T4_90;R_W5_T4_90;126;rhizo;W5;KRAB;4;2;90;Tianci;53.52;1.752;1.496
R_W5_T4_114;R_W5_T4_114;132;rhizo;W5;KRAB;4;3;114;Michael;70.23;1.755;1.739
R_W5_T4_116;R_W5_T4_116;134;rhizo;W5;KRAB;4;1;116;Michael;81.39;1.626;1.083
R_W5_T5_18;R_W5_T5_18;149;rhizo;W5;KRAB;5;2;18;Michael;66.68;1.779;1.688
R_W5_T5_41;R_W5_T5_41;155;rhizo;W5;KRAB;5;3;41;Tianci;41.92;2.03;3.6
R_W5_T5_68;R_W5_T5_68;164;rhizo;W5;KRAB;5;1;68;Tianci;40.86;1.848;2.046
R_W5_T6_22;R_W5_T6_22;172;rhizo;W5;KRAB;6;3;22;Xiu;76.51;1.735;1.327
R_W5_T6_23;R_W5_T6_23;173;rhizo;W5;KRAB;6;1;23;Xiu;85.27;1.749;1.429
R_W5_T6_62;R_W5_T6_62;191;rhizo;W5;KRAB;6;2;62;Xiu;61.78;1.769;1.567
R_W5_T1_151;R_W5_T1_151;28;rhizo;W5;PASJA_POMORSKA;1;2;151;Tianci;104.93;1.826;1.561
R_W5_T1_154;R_W5_T1_154;31;rhizo;W5;PASJA_POMORSKA;1;3;154;Tianci;90.07;1.845;1.689
R_W5_T1_185;R_W5_T1_185;47;rhizo;W5;PASJA_POMORSKA;1;1;185;Tianci;106.18;1.781;1.489
R_W5_T2_142;R_W5_T2_142;59;rhizo;W5;PASJA_POMORSKA;2;3;142;Xiu;74.7;1.853;1.724
R_W5_T2_164;R_W5_T2_164;65;rhizo;W5;PASJA_POMORSKA;2;2;164;Michael;79.58;1.859;1.754
R_W5_T2_191;R_W5_T2_191;76;rhizo;W5;PASJA_POMORSKA;2;1;191;Tianci;97.65;1.825;1.706
R_W5_T3_98;R_W5_T3_98;100;rhizo;W5;PASJA_POMORSKA;3;1;98;Tianci;43.34;1.788;1.733
R_W5_T3_101;R_W5_T3_101;102;rhizo;W5;PASJA_POMORSKA;3;3;101;Tianci;46.41;1.799;1.834
R_W5_T3_121;R_W5_T3_121;106;rhizo;W5;PASJA_POMORSKA;3;2;121;Xiu;88.04;1.797;1.485
R_W5_T4_78;R_W5_T4_78;118;rhizo;W5;PASJA_POMORSKA;4;2;78;Tianci;54.38;1.789;1.661
R_W5_T4_109;R_W5_T4_109;129;rhizo;W5;PASJA_POMORSKA;4;3;109;Tianci;67.7;1.711;1.38
