Family,node,degree_old,order,Taxa,degree
Mortierellaceae_S1,OTU500,919.6210529,48,Fungi,8
Olpidiaceae,OTU521,26.11078575,33,Fungi,1
Mortierellaceae_S2,OTU550,4196.725312,53,Fungi,6
Mortierellaceae_S3,OTU558,2700.72098,54,Fungi,8
Mortierellaceae_S4,OTU572,21821.35708,52,Fungi,18
Mortierellaceae_S5,OTU574,957.2559192,49,Fungi,3
P_Chytridiomycota_S2,OTU58,105.9033736,25,Fungi,5
Mortierellaceae_S6,OTU662,2725.443502,3,Fungi,1
Mortierellaceae_S7,OTU670,756.9678915,47,Fungi,6
Mortierellaceae_S8,OTU900,781.5378976,5,Fungi,1
Sphaerobolaceae_S2,OTU939,110.6214179,46,Fungi,1
