No,Sampling_ID,richness,shannon,simpson,pielous.evenness,Soil_type,Sampling_time,Variety,Treatment,Replicate,MIT
R_W5_T3_128,R_W5_T3_128,559,4.065557083,0.956092045,0.64265903,rhizo,W5,KRAB,3,3,Middle
R_W5_T3_129,R_W5_T3_129,553,4.162299244,0.96130227,0.659075739,rhizo,W5,RUDAWA,3,3,High
R_W5_T3_130,R_W5_T3_130,518,4.013561178,0.957750312,0.642172332,rhizo,W5,JELLY,3,3,Middle
R_W5_T3_132,R_W5_T3_132,570,4.16005267,0.960123511,0.655576909,rhizo,W5,ATOL,3,1,Low
R_W5_T3_133,R_W5_T3_133,566,4.141735437,0.960369221,0.653415471,rhizo,W5,JELLY,3,2,Middle
R_W5_T3_72,R_W5_T3_72,572,4.187236146,0.961049896,0.659496689,rhizo,W5,RUDAWA,3,1,High
R_W5_T3_74,R_W5_T3_74,504,3.958957073,0.954063807,0.636224757,rhizo,W5,DESIREE,3,2,High
R_W5_T3_76,R_W5_T3_76,515,4.163303951,0.963363869,0.666750908,rhizo,W5,KRAB,3,2,Middle
R_W5_T3_77,R_W5_T3_77,596,4.312743132,0.966477093,0.674895259,rhizo,W5,ATOL,3,2,Low
R_W5_T3_92,R_W5_T3_92,498,4.096449029,0.961818242,0.659589891,rhizo,W5,DESIREE,3,1,High
R_W5_T3_94,R_W5_T3_94,544,4.164620204,0.961415868,0.661161099,rhizo,W5,RUDAWA,3,2,High
R_W5_T3_98,R_W5_T3_98,541,4.076324799,0.959344148,0.647712256,rhizo,W5,PASJA_POMORSKA,3,1,High
R_W5_T4_107,R_W5_T4_107,537,4.084628268,0.959550729,0.649797885,rhizo,W5,DESIREE,4,3,High
R_W5_T4_109,R_W5_T4_109,526,4.04945397,0.956398875,0.646330293,rhizo,W5,PASJA_POMORSKA,4,3,High
R_W5_T4_110,R_W5_T4_110,547,4.062597481,0.960104748,0.644401693,rhizo,W5,PASJA_POMORSKA,4,1,High
R_W5_T4_113,R_W5_T4_113,520,4.122496571,0.960546585,0.659195622,rhizo,W5,RUDAWA,4,2,High
R_W5_T4_114,R_W5_T4_114,450,3.464642842,0.910184736,0.567114492,rhizo,W5,KRAB,4,3,Middle
R_W5_T4_115,R_W5_T4_115,503,3.937860839,0.94904115,0.633036534,rhizo,W5,DESIREE,4,1,High
R_W5_T4_116,R_W5_T4_116,525,3.954884729,0.953470616,0.631427951,rhizo,W5,KRAB,4,1,Middle
R_W5_T4_118,R_W5_T4_118,528,4.128906494,0.959224177,0.65861271,rhizo,W5,JELLY,4,1,Middle
R_W5_T4_134,R_W5_T4_134,535,4.072679543,0.958453415,0.648281855,rhizo,W5,RUDAWA,4,1,High
R_W5_T4_136,R_W5_T4_136,549,3.961105655,0.950558101,0.627939734,rhizo,W5,JELLY,4,3,Middle
R_W5_T4_137,R_W5_T4_137,541,4.05472718,0.950545856,0.644280478,rhizo,W5,SALTO,4,2,High
R_W5_T4_139,R_W5_T4_139,535,4.0658552,0.959537672,0.647195569,rhizo,W5,ATOL,4,3,Low
R_W5_T4_140,R_W5_T4_140,541,4.042716246,0.954950271,0.642371987,rhizo,W5,JELLY,4,2,Middle
R_W5_T4_78,R_W5_T4_78,562,4.129725007,0.962827926,0.652250462,rhizo,W5,PASJA_POMORSKA,4,2,High
R_W5_T4_79,R_W5_T4_79,510,4.03840707,0.959295731,0.647760831,rhizo,W5,SALTO,4,3,High
R_W5_T4_81,R_W5_T4_81,524,4.100219591,0.961072865,0.654831117,rhizo,W5,DESIREE,4,2,High
R_W5_T4_84,R_W5_T4_84,524,4.075434848,0.95989696,0.650872836,rhizo,W5,SALTO,4,1,High
