SampleID,Cultivar,Group,Color,Select,root_shoot_biomass,root_length,root_biomass,Bac_richness,Bac_shannon,Fun_richness,Fun_shannon,RE_richness,RE_shannon
S10_16S,Jelly,d,d,d,0.233484827,33,0.115341505,974,6.105884838,416,4.220728722,31.66666667,2.865461078
S125_16S,Jelly,d,d,d,0.164572582,43,0.112896791,1079,6.258079278,426,4.558378181,31.66666667,2.865461078
S80_16S,Jelly,d,d,d,0.292495102,33,0.08482358,619,5.82955768,437,4.674002967,31.66666667,2.865461078
S105_16S,Kama,b,no,b,0.293171604,35,0.070947528,1271,6.475470777,389,4.153660957,46.66666667,3.538336695
S27_16S,Kama,b,no,b,0.187946146,36,0.111827957,765,6.006833968,368,4.285678989,46.66666667,3.538336695
S56_16S,Kama,b,no,b,0.241649653,48,0.123966272,1000,6.195208523,434,4.552443518,46.66666667,3.538336695
S103_16S,King Edward Vii,b,no,no,0.103229624,30,0.077112529,1110,6.427275722,424,4.551081674,32,2.864105751
S35_16S,King Edward Vii,b,no,no,0.091933947,23,0.051850746,939,6.215902939,418,4.473118435,32,2.864105751
S53_16S,King Edward Vii,b,no,no,0.162675893,30,0.079385836,917,6.185610146,425,4.606914845,32,2.864105751
S152_16S,Kmiec,b,no,no,0.306544111,29,0.16032257,1347,6.546353154,441,4.55142521,34,2.98114702
S5_16S,Kmiec,b,no,no,0.308373979,42,0.095595933,1153,6.439898054,422,4.319067619,34,2.98114702
S79_16S,Kmiec,b,no,no,0.149995795,39,0.07349794,1021,6.222494258,408,4.364819951,34,2.98114702
S150_16S,Krab,b,b,b,0.227560373,20,0.074184682,1414,6.602412467,434,4.471326411,25,2.60412096
S36_16S,Krab,b,b,b,0.120910442,27,0.062752519,1074,6.251154788,449,4.69248941,25,2.60412096
S55_16S,Krab,b,b,b,0.169967921,18,0.063398034,1334,6.48627327,432,4.562879238,25,2.60412096
S128_16S,Moni,b,no,no,0.178782729,22,0.062037607,1081,6.269771074,449,4.343540083,20.33333333,2.316847687
S31_16S,Moni,b,no,no,0.163486754,30,0.068827923,1014,6.234801577,257,2.920897937,20.33333333,2.316847687
S91_16S,Moni,b,no,no,0.313229179,22,0.138760526,1169,6.437724118,431,4.488358559,20.33333333,2.316847687
S102_16S,Orlik Cs,b,no,no,0.233333333,12.7,0.0224,1294,6.456872762,432,4.215716008,27.33333333,2.648332533
S118_16S,Orlik Cs,b,no,no,0,17,0.0224,1151,6.370068991,354,3.216844669,27.33333333,2.648332533
S41_16S,Orlik Cs,b,no,no,0,12,0.0224,1087,6.342531848,406,4.354952297,27.33333333,2.648332533
S134_16S,Pasja Pomorska,a,a,a,0.221043834,24,0.086870227,1233,6.490747374,429,4.4782201,37,3.181985818
S28_16S,Pasja Pomorska,a,a,a,0.164543256,22,0.087866099,1057,6.286365984,438,4.648327265,37,3.181985818
S59_16S,Pasja Pomorska,a,a,a,0.219756314,40,0.094275459,929,6.203505029,409,4.334687019,37,3.181985818
S116_16S,Rudawa,d,d,d,0.174633827,29,0.113686622,1423,6.574667438,345,2.927615493,35.66666667,3.100021098
S23_16S,Rudawa,d,d,d,0.242028055,35,0.138682075,1008,6.239538611,406,4.136577558,35.66666667,3.100021098
S82_16S,Rudawa,d,d,d,0.429626018,48,0.170561529,1319,6.562748093,389,4.096248244,35.66666667,3.100021098
S104_16S,Sagitta,d,no,no,0.143115768,25,0.051664792,874,6.069020327,416,4.675013896,29.5,2.629901354
S20_16S,Sagitta,d,no,no,0.220862721,27,0.059632935,783,5.860503522,418,4.527455276,29.5,2.629901354
S58_16S,Sagitta,d,no,no,0.208843789,35,0.054299385,1164,6.400397332,421,4.541918345,29.5,2.629901354
S147_16S,Salto,b,b,b,0.210000045,27,0.117810025,1335,6.567727664,449,4.526634672,33,2.867245278
S24_16S,Salto,b,b,b,0.357892238,32,0.152462093,1246,6.523510738,432,4.346182615,33,2.867245278
S99_16S,Salto,b,b,b,0.424733517,45,0.192404283,1261,6.443929688,420,4.534220597,33,2.867245278
S127_16S,Syrena,b,no,no,0.339172945,30,0.092594214,1257,6.499164762,409,4.315806093,28,2.716816644
S77_16S,Syrena,b,no,no,0.212180705,46,0.101422377,1078,6.252988612,441,4.443242456,28,2.716816644
S8_16S,Syrena,b,no,no,0.084511672,40,0.051467608,960,6.23474994,404,4.413309283,28,2.716816644
S121_16S,Szyper,a,no,no,0.197884251,32,0.133176101,1602,6.6371684,411,4.433283267,23,2.638417259
S14_16S,Szyper,a,no,no,0.226823302,30,0.106153305,1046,6.312217691,355,4.110528355,23,2.638417259
S63_16S,Szyper,a,no,no,0.467536088,35,0.206183415,1151,6.395882619,415,4.402960123,23,2.638417259
S119_16S,Tewadi,a,no,no,0.139229925,37,0.066134214,981,6.27119727,429,3.944953048,35.33333333,3.069985094
S17_16S,Tewadi,a,no,no,0.236822965,30,0.14777753,1324,6.409281871,457,4.645551577,35.33333333,3.069985094
S81_16S,Tewadi,a,no,no,0.101699188,33,0.074342107,1279,6.513132305,402,4.265867955,35.33333333,3.069985094
S112_16S,Ursus,c,no,no,0.340489073,39,0.121895088,1039,6.260547642,425,4.481999424,36,3.170141001
S6_16S,Ursus,c,no,no,0.240295303,24,0.09515694,960,6.15801064,366,3.762100111,36,3.170141001
S93_16S,Ursus,c,no,no,0.174644373,27,0.091339007,1033,6.304581612,424,4.430292103,36,3.170141001
S129_16S,Wiebke,b,no,no,0.140428028,30,0.071758722,1101,6.326217143,419,4.510162262,24.66666667,2.583078432
S21_16S,Wiebke,b,no,no,0.122766768,6,0.05696378,1048,6.339390292,437,4.729026815,24.66666667,2.583078432
S71_16S,Wiebke,b,no,no,0.122196941,33,0.057676956,970,6.234426687,375,3.566940885,24.66666667,2.583078432
S108_16S,Wolfram,a,no,no,0.149710539,38,0.089526902,1136,6.312963223,422,4.601493473,25,2.575864143
S40_16S,Wolfram,a,no,no,0.127251798,32,0.061462619,1079,6.237041482,358,3.803530439,25,2.575864143
S68_16S,Wolfram,a,no,no,0.269042198,31.5,0.172725091,1155,6.444533729,436,4.545735133,25,2.575864143
S124_16S,Wyszoborski,a,no,no,0.189416903,34,0.092435449,866,6.066493424,367,3.877683899,29,2.820187592
S19_16S,Wyszoborski,a,no,no,0.221214569,27,0.120340725,1191,6.378135736,442,4.629854013,29,2.820187592
S94_16S,Wyszoborski,a,no,no,0.258116852,29,0.137834399,1142,6.445282671,355,3.778435453,29,2.820187592
S106_16S,Zagloba,d,no,no,0.215586295,18,0.067262924,1140,6.386843301,430,4.672665727,29.33333333,2.861214715
S51_16S,Zagloba,d,no,no,0.132422152,31.5,0.066608343,1243,6.265651456,392,4.278160222,29.33333333,2.861214715
S57_16S,Zagloba,d,no,no,0.202681666,26,0.066479586,818,5.884023424,401,4.19284502,29.33333333,2.861214715
S100_16S,Zenia,b,no,no,0.231858787,31,0.092743515,1550,6.676048339,438,4.64107127,27,2.597946056
S111_16S,Zenia,b,no,no,0.24361562,31,0.062609214,1217,6.367145954,405,4.285151105,27,2.597946056
S37_16S,Zenia,b,no,no,0.181778552,35,0.102523103,888,6.012713758,394,4.269982385,27,2.597946056
