SampleID,Cultivar,Group,Color,Select,root_shoot_biomass,root_length,root_biomass,Bac_richness,Bac_shannon,Fun_richness,Fun_shannon,RE_richness,RE_shannon,Mean
S89_16S,Belladonna,c,no,no,0.131467852,-0.14181784,-0.366202474,0.92143284,0.287809272,-0.832912497,-0.797573589,-0.313468206,0.266329993,-0.093881628
S9_16S,Belladonna,c,no,no,0.302010208,0.939708862,0.722610636,0.101730119,0.23552789,0.80213513,0.709516371,-0.313468206,0.266329993,0.418455667
S140_16S,Bihoro,a,no,a,-0.323529731,0.331350092,-0.3940719,-0.602249866,-0.075230035,-0.375099161,-0.646200084,-1.390685135,-1.549002492,-0.558302035
S33_16S,Bihoro,a,no,a,-0.800368939,-0.750176609,-0.953898674,-0.544388497,-0.100550704,0.704032272,0.419214,-1.390685135,-1.549002492,-0.551758309
S72_16S,Bihoro,a,no,a,-0.953827803,-0.277008677,-0.92075751,-1.523209982,-0.566324722,0.213517984,-0.10759081,-1.390685135,-1.549002492,-0.786098794
S149_16S,Bodenkraft,d,no,no,0.873539714,-1.223344541,0.376511303,1.181808999,0.489157602,0.377022747,0.157324762,-0.558290236,-0.640797999,0.114770261
S2_16S,Bodenkraft,d,no,no,3.278309132,0.128563836,0.510672906,-0.216507409,-0.012474319,-0.375099161,0.670666922,-0.558290236,-0.640797999,0.309449297
S96_16S,Bodenkraft,d,no,no,1.395899127,0.804518024,1.356532313,1.201096122,0.418524992,1.096443703,0.448225819,-0.558290236,-0.640797999,0.613572429
S138_16S,Brda Stara,d,no,d,4.512443851,-1.764107891,-1.359264833,-0.390091514,-0.117186894,0.442424652,-0.264621817,-0.558290236,-0.964377868,-0.051452506
S26_16S,Brda Stara,d,no,d,-1.04561115,-2.913230011,-1.773042429,-0.645645892,-0.155828499,0.442424652,-0.230551792,-0.558290236,-0.964377868,-0.871572581
S60_16S,Brda Stara,d,no,d,-0.382833456,-0.006627002,0.234153675,-1.474992175,-0.460975588,1.554257038,0.813836491,-0.558290236,-0.964377868,-0.13842768
S141_16S,Cajka,c,no,no,0.73661096,-1.223344541,-0.453809529,-1.624467377,-0.506819353,-0.080790589,-0.513367484,1.400286,1.071842579,-0.132651037
S7_16S,Cajka,c,no,no,1.418431794,0.939708862,1.002542366,0.815353664,0.292444084,1.358051323,1.037637774,1.400286,1.071842579,1.037366494
S75_16S,Cajka,c,no,no,-0.247718334,0.398945511,0.324624775,-0.713150822,-0.421575379,-0.440501067,-0.160030368,1.400286,1.071842579,0.134746988
S114_16S,Cariboo,d,no,no,0.657220009,1.750853888,-0.10810008,0.072799434,0.097801344,1.652359896,0.868551789,-0.509325829,-0.46525727,0.446322576
S29_16S,Cariboo,d,no,no,1.149148228,0.060968417,0.748886072,-5.240802913,-11.56105176,-0.800211544,0.342958587,-0.509325829,-0.46525727,-1.808298668
S90_16S,Cariboo,d,no,no,1.268835231,-1.020558284,1.662704091,0.434432988,0.299757343,0.605929415,0.559063828,-0.509325829,-0.46525727,0.315064612
S142_16S,Carnea,a,no,no,-0.501376703,0.804518024,-0.396913244,-1.44123971,-0.502365912,-0.146192494,0.303990712,0.176175852,0.111170111,-0.176914818
S15_16S,Carnea,a,no,no,-1.061503846,0.669327186,-1.146817151,-0.264725216,-0.08503469,-0.080790589,0.137819544,0.176175852,0.111170111,-0.171597644
S85_16S,Carnea,a,no,no,2.210591994,2.832380589,0.611045761,-0.505814251,-0.063167116,-0.309697256,-0.02121074,0.176175852,0.111170111,0.560163883
S144_16S,Ceres,c,no,no,-0.624049288,0.804518024,-0.431665599,-0.351517269,0.050237909,-0.276996304,0.118814648,-1.58654276,-1.776832574,-0.452670357
S44_16S,Ceres,c,no,no,0.055373726,-0.277008677,-0.18814855,-1.214616017,-0.54889217,0.082714174,0.462427399,-1.58654276,-1.776832574,-0.554613939
S78_16S,Ceres,c,no,no,-0.86776596,1.074899699,-0.462818945,0.955185305,0.478252688,0.246218937,0.646805943,-1.58654276,-1.776832574,-0.143621963
S135_16S,Cobra,a,no,no,0.339284151,-0.547390352,0.992766905,1.003403112,0.276228435,1.423453228,0.549455936,-0.215539394,-0.363220688,0.384271259
S32_16S,Cobra,a,no,no,0.01220226,-0.479794934,0.141046395,-1.200150674,-0.311687685,-0.375099161,0.260510234,-0.215539394,-0.363220688,-0.281303739
S62_16S,Cobra,a,no,no,-0.265250264,-0.14181784,0.195343417,-0.221329189,0.168429958,1.259948465,0.599284256,-0.215539394,-0.363220688,0.11287208
S11_16S,Cosima,a,no,no,0.309658219,-0.14181784,0.192978194,-0.312943023,0.054245395,0.246218937,0.395202189,-1.390685135,-1.280745018,-0.214209787
S130_16S,Cosima,a,no,no,-0.917951837,-0.14181784,-0.220126133,0.51640326,0.18372802,-0.375099161,-0.068887704,-1.390685135,-1.280745018,-0.410575727
S70_16S,Cosima,a,no,no,-0.636064213,0.128563836,-0.237332611,-0.645645892,-0.041140481,0.213517984,0.431653384,-1.390685135,-1.280745018,-0.384208683
S148_16S,Czapla,d,no,no,-0.430454628,-0.277008677,0.095499635,2.464402669,0.821275391,0.834836082,0.535024412,2.477502929,2.055975514,0.953005925
S16_16S,Czapla,d,no,no,-0.493629949,0.398945511,-0.536366173,-1.151932867,-0.289357491,-0.342398209,0.678367667,2.477502929,2.055975514,0.310789659
S54_16S,Czapla,d,no,no,-1.249061587,-0.006627002,-1.526295839,0.299423128,0.183878079,0.344321794,0.301743776,2.477502929,2.055975514,0.320095644
S115_16S,Danuta,c,no,c,-0.958950326,0.804518024,-0.955756643,-0.872269586,-0.071902156,-1.879342978,-3.607232531,1.106499565,1.031184255,-0.600361375
S39_16S,Danuta,c,no,c,1.206894647,0.669327186,-0.110140096,-0.187576724,0.106069161,0.050013222,-1.400131461,1.106499565,1.031184255,0.274682195
