SampleID,Time,Plot,Variety,Treatment,Height,Aboveground_biomass,Belowground_biomass,root_shoot,MIT_ric_sha_ratio
T1_RUDAWA_W5_1_2,W5,209,RUDAWA,Control,50,58.17,5.51,0.094722365,0.31470564
T1_RUDAWA_W5_3_1,W5,187,RUDAWA,Control,38,37.37,3.8,0.101685844,0.31470564
T1_RUDAWA_W5_3_2,W5,187,RUDAWA,Control,36,14.07,1.7,0.120824449,0.31470564
T1_RUDAWA_W5_3_3,W5,187,RUDAWA,Control,39,35.36,4.57,0.129242081,0.31470564
T1_SALTO_W5_3_2,W5,152,SALTO,Control,41,40.18,3.87,0.096316575,0.701195803
T1_SALTO_W5_3_3,W5,152,SALTO,Control,46,54,5.45,0.100925926,0.701195803
T1_SALTO_W5_3_1,W5,152,SALTO,Control,44,35.66,4.56,0.127874369,0.701195803
T1_SALTO_W5_2_3,W5,206,SALTO,Control,45,33.73,4.37,0.129558257,0.701195803
T1_SALTO_W5_1_1,W5,178,SALTO,Control,42,28.08,3.89,0.138532764,0.701195803
T1_SALTO_W5_2_2,W5,206,SALTO,Control,40,27.04,3.75,0.138683432,0.701195803
T1_SALTO_W5_1_2,W5,178,SALTO,Control,56,48.56,8.36,0.172158155,0.701195803
T1_SALTO_W5_1_3,W5,178,SALTO,Control,53,31.54,6.79,0.215282181,0.701195803
T4_ATOL_W5_2_3,W5,87,ATOL,Fertilizers,38,23.99,1.56,0.065027095,-0.676688521
T4_ATOL_W5_1_3,W5,91,ATOL,Fertilizers,36,22.15,1.51,0.068171558,-0.676688521
T4_ATOL_W5_3_1,W5,139,ATOL,Fertilizers,43,29.72,2.15,0.072341857,-0.676688521
T4_ATOL_W5_1_1,W5,91,ATOL,Fertilizers,47,24.27,1.9,0.07828595,-0.676688521
T4_ATOL_W5_2_2,W5,87,ATOL,Fertilizers,45,27.16,2.14,0.078792342,-0.676688521
T4_ATOL_W5_1_2,W5,91,ATOL,Fertilizers,43,15.21,1.21,0.079552926,-0.676688521
T4_ATOL_W5_2_1,W5,87,ATOL,Fertilizers,42,33.1,2.82,0.085196375,-0.676688521
T4_ATOL_W5_3_3,W5,139,ATOL,Fertilizers,39,33.04,3.55,0.107445521,-0.676688521
T4_ATOL_W5_3_2,W5,139,ATOL,Fertilizers,45,44.42,5.16,0.11616389,-0.676688521
T4_DESIREE_W5_3_3,W5,107,DESIREE,Fertilizers,40,17.11,0.86,0.050263004,0.351370362
T4_DESIREE_W5_2_1,W5,81,DESIREE,Fertilizers,33,39.5,2.18,0.055189873,0.351370362
T4_DESIREE_W5_2_2,W5,81,DESIREE,Fertilizers,23,16.88,1,0.059241706,0.351370362
